event_id,round,player1,player2,winner
12845687,2,newbarola,AlessandroPiraccini,AlessandroPiraccini
12845687,2,qbturtle15,Infinitalove,Infinitalove
12845687,2,cicciogire,LuffyDoChapeuDePalha,LuffyDoChapeuDePalha
12845687,2,MrFuinha,ziofrancone,MrFuinha
12845687,1,MrFuinha,LuffyDoChapeuDePalha,LuffyDoChapeuDePalha
12845687,1,AlessandroPiraccini,Infinitalove,AlessandroPiraccini
12845687,0,LuffyDoChapeuDePalha,AlessandroPiraccini,AlessandroPiraccini
12845668,2,Jinjaa,MatheusPonciano,MatheusPonciano
12845668,2,discoverN,cicciogire,discoverN
12845668,2,vini_torres,Niederschatten,Niederschatten
12845668,2,newbarola,ChaoticMTG,ChaoticMTG
12845668,1,Niederschatten,MatheusPonciano,MatheusPonciano
12845668,1,discoverN,ChaoticMTG,ChaoticMTG
12845668,0,MatheusPonciano,ChaoticMTG,ChaoticMTG
12845653,2,TSPJendrek,Luminati,Luminati
12845653,2,Guii_Machado,wabodabo,Guii_Machado
12845653,2,__Noob__,ChaoticMTG,__Noob__
12845653,2,Mikhathara1994,Walker735,Mikhathara1994
12845653,1,Guii_Machado,Luminati,Guii_Machado
12845653,1,Mikhathara1994,__Noob__,__Noob__
12845653,0,Guii_Machado,__Noob__,__Noob__
12845643,2,Pafru,kuldothared,kuldothared
12845643,2,seasonofmists,__Noob__,seasonofmists
12845643,2,sai199orz,Shiib,Shiib
12845643,2,vini_torres,TSPJendrek,vini_torres
12845643,1,seasonofmists,kuldothared,seasonofmists
12845643,1,vini_torres,Shiib,vini_torres
12845643,0,vini_torres,seasonofmists,seasonofmists
12845631,2,Beicodegeia,ElkVinci,ElkVinci
12845631,2,vini_torres,LuffyDoChapeuDePalha,LuffyDoChapeuDePalha
12845631,2,MisterTwin,kuldothared,MisterTwin
12845631,2,LabroNico,wolf777,LabroNico
12845631,1,LuffyDoChapeuDePalha,LabroNico,LabroNico
12845631,1,ElkVinci,MisterTwin,ElkVinci
12845631,0,ElkVinci,LabroNico,LabroNico
12845625,2,ziofrancone,Luminati,Luminati
12845625,2,seasonofmists,marzaboi,seasonofmists
12845625,2,Niederschatten,Guii_Machado,Niederschatten
12845625,2,Supremoguy,Shiib,Shiib
12845625,1,Shiib,Luminati,Shiib
12845625,1,Niederschatten,seasonofmists,seasonofmists
12845625,0,Shiib,seasonofmists,seasonofmists
12844875,2,Entropy263,Syns,Syns
12844875,2,Valimoth,Brvnx,Valimoth
12844875,2,karatedom,MisterTwin,karatedom
12844875,2,TSPJendrek,Brasatore,TSPJendrek
12844875,1,TSPJendrek,Valimoth,TSPJendrek
12844875,1,karatedom,Syns,karatedom
12844875,0,TSPJendrek,karatedom,karatedom
12844856,2,True-Name-Nemesis,Valimoth,Valimoth
12844856,2,Jositoshekel,Denisevich,Jositoshekel
12844856,2,TSPJendrek,SaculSueahtam,SaculSueahtam
12844856,2,DomoArigatoR,AlessandroPiraccini,DomoArigatoR
12844856,1,DomoArigatoR,Valimoth,Valimoth
12844856,1,Jositoshekel,SaculSueahtam,SaculSueahtam
12844856,0,SaculSueahtam,Valimoth,Valimoth
12844841,2,discoverN,_blaze66,_blaze66
12844841,2,newbarola,MisterTwin,MisterTwin
12844841,2,Niederschatten,Aldreen,Aldreen
12844841,2,Emogoblin,QueMario,QueMario
12844841,1,Aldreen,MisterTwin,Aldreen
12844841,1,QueMario,_blaze66,QueMario
12844841,0,Aldreen,QueMario,QueMario
12844831,2,Heterodox,boom_bust,Heterodox
12844831,2,Ixidor29,broers_,Ixidor29
12844831,2,carvs,Elegant_95,Elegant_95
12844831,2,PedraStone,PNascimento,PedraStone
12844831,1,Heterodox,Elegant_95,Heterodox
12844831,1,Ixidor29,PedraStone,PedraStone
12844831,0,Heterodox,PedraStone,Heterodox
12844338,2,auzzie51,DarkSlayer99,DarkSlayer99
12844338,2,Punchilleno,Luminati,Luminati
12844338,2,Walker735,Brvnx,Brvnx
12844338,2,Dustin_Comite,MisterTwin,Dustin_Comite
12844338,1,Dustin_Comite,Brvnx,Dustin_Comite
12844338,1,DarkSlayer99,Luminati,DarkSlayer99
12844338,0,Dustin_Comite,DarkSlayer99,DarkSlayer99
12844320,2,PR0boszcz,oskiyaa,PR0boszcz
12844320,2,Guii_Machado,newbarola,Guii_Machado
12844320,2,TSPJendrek,SaculSueahtam,SaculSueahtam
12844320,2,Terminus0,Brvnx,Brvnx
12844320,1,Guii_Machado,Brvnx,Brvnx
12844320,1,PR0boszcz,SaculSueahtam,SaculSueahtam
12844320,0,SaculSueahtam,Brvnx,SaculSueahtam
12844305,2,BERNASTORRES,eli2107,BERNASTORRES
12844305,2,NickNorman,MisterTwin,NickNorman
12844305,2,Emogoblin,Yugi_Muto,Yugi_Muto
12844305,2,barff,fazparte,barff
12844305,1,NickNorman,Yugi_Muto,Yugi_Muto
12844305,1,BERNASTORRES,barff,barff
12844305,0,barff,Yugi_Muto,barff
12844295,2,Guii_Machado,Purgatory_01,Guii_Machado
12844295,2,_against_,Emogoblin,Emogoblin
12844295,2,wand_thief,_blaze66,_blaze66
12844295,2,HoldTheElle,LuffyDoChapeuDePalha,LuffyDoChapeuDePalha
12844295,1,Emogoblin,_blaze66,_blaze66
12844295,1,LuffyDoChapeuDePalha,Guii_Machado,LuffyDoChapeuDePalha
12844295,0,LuffyDoChapeuDePalha,_blaze66,LuffyDoChapeuDePalha
12843817,2,hyuma,Gn42,Gn42
12843817,2,LuffyDoChapeuDePalha,KOKOLOKO3435,LuffyDoChapeuDePalha
12843817,2,roter_Erzengel,JsyvX,JsyvX
12843817,2,Drugo,Luminati,Drugo
12843817,1,LuffyDoChapeuDePalha,Drugo,LuffyDoChapeuDePalha
12843817,1,JsyvX,Gn42,JsyvX
12843817,0,LuffyDoChapeuDePalha,JsyvX,JsyvX
12843798,2,Shiib,ziofrancone,Shiib
12843798,2,mei0024,daifuku,daifuku
12843798,2,Emogoblin,Alleyezonme,Alleyezonme
12843798,2,jessy_samek,SaculSueahtam,SaculSueahtam
12843798,1,daifuku,Alleyezonme,Alleyezonme
12843798,1,Shiib,SaculSueahtam,Shiib
12843798,0,Shiib,Alleyezonme,Alleyezonme
12843783,2,Emogoblin,Enz091,Enz091
12843783,2,daifuku,Luminati,Luminati
12843783,2,A_AdeptoTerra,AlessandroPiraccini,AlessandroPiraccini
12843783,2,Shiib,airplay,airplay
12843783,1,Luminati,AlessandroPiraccini,AlessandroPiraccini
12843783,1,airplay,Enz091,Enz091
12843783,0,AlessandroPiraccini,Enz091,AlessandroPiraccini
12843773,2,Shiib,__Noob__,__Noob__
12843773,2,boom_bust,TronZera,boom_bust
12843773,2,grajtow,Heisen01,grajtow
12843773,2,LuffyDoChapeuDePalha,Guii_Machado,LuffyDoChapeuDePalha
12843773,1,LuffyDoChapeuDePalha,__Noob__,__Noob__
12843773,1,grajtow,boom_bust,grajtow
12843773,0,grajtow,__Noob__,grajtow
