event_id,name,date,format,players
12845687,Pauper Challenge 32,2026-06-28 17:00:00.0,CPAUPER,68
12845668,Pauper Challenge 32,2026-06-27 09:00:00.0,CPAUPER,43
12845653,Pauper Challenge 32,2026-06-26 13:00:00.0,CPAUPER,70
12845643,Pauper Challenge 32,2026-06-25 19:00:00.0,CPAUPER,48
12845631,Pauper Challenge 32,2026-06-24 19:30:00.0,CPAUPER,34
12845625,Pauper Challenge 32,2026-06-24 12:00:00.0,CPAUPER,45
12844875,Pauper Challenge 32,2026-06-21 17:00:00.0,CPAUPER,75
12844856,Pauper Challenge 32,2026-06-20 09:00:00.0,CPAUPER,50
12844841,Pauper Challenge 32,2026-06-19 13:00:00.0,CPAUPER,65
12844831,Pauper Challenge 32,2026-06-18 19:00:00.0,CPAUPER,60
12844338,Pauper Challenge 32,2026-06-14 17:00:00.0,CPAUPER,60
12844320,Pauper Challenge 32,2026-06-13 09:00:00.0,CPAUPER,44
12844305,Pauper Challenge 32,2026-06-12 13:00:00.0,CPAUPER,54
12844295,Pauper Challenge 32,2026-06-11 19:00:00.0,CPAUPER,52
12843817,Pauper Challenge 32,2026-06-07 17:00:00.0,CPAUPER,66
12843798,Pauper Challenge 32,2026-06-06 09:00:00.0,CPAUPER,54
12843783,Pauper Challenge 32,2026-06-05 13:00:00.0,CPAUPER,64
12843773,Pauper Challenge 32,2026-06-04 19:00:00.0,CPAUPER,56
12845687,Pauper Challenge 32,2026-06-28 17:00:00.0,CPAUPER,68
12845668,Pauper Challenge 32,2026-06-27 09:00:00.0,CPAUPER,43
12845653,Pauper Challenge 32,2026-06-26 13:00:00.0,CPAUPER,70
12845643,Pauper Challenge 32,2026-06-25 19:00:00.0,CPAUPER,48
12845631,Pauper Challenge 32,2026-06-24 19:30:00.0,CPAUPER,34
12845625,Pauper Challenge 32,2026-06-24 12:00:00.0,CPAUPER,45
12844875,Pauper Challenge 32,2026-06-21 17:00:00.0,CPAUPER,75
12844856,Pauper Challenge 32,2026-06-20 09:00:00.0,CPAUPER,50
12844841,Pauper Challenge 32,2026-06-19 13:00:00.0,CPAUPER,65
12844831,Pauper Challenge 32,2026-06-18 19:00:00.0,CPAUPER,60
12844338,Pauper Challenge 32,2026-06-14 17:00:00.0,CPAUPER,60
12844320,Pauper Challenge 32,2026-06-13 09:00:00.0,CPAUPER,44
12844305,Pauper Challenge 32,2026-06-12 13:00:00.0,CPAUPER,54
12844295,Pauper Challenge 32,2026-06-11 19:00:00.0,CPAUPER,52
12843817,Pauper Challenge 32,2026-06-07 17:00:00.0,CPAUPER,66
12843798,Pauper Challenge 32,2026-06-06 09:00:00.0,CPAUPER,54
12843783,Pauper Challenge 32,2026-06-05 13:00:00.0,CPAUPER,64
12843773,Pauper Challenge 32,2026-06-04 19:00:00.0,CPAUPER,56
